Source,Target,Type,Weight
df_torn,df_torn,generates,2
max,u_t,generates,1
max,new_val,generates,1
max,u,generates,1
max,pv,generates,1
df_oat,order_df,generates,1
df_oat,df_oat,consumes,1
float,eur_new,generates,1
float,value,generates,1
float,legacy_value,generates,1
float,getattr,generates,2
float,global_sensitivity,generates,1
float,self,generates,2
float,eur_base,generates,1
DimensionalHomologator,f_in,consumes,1
DimensionalHomologator,f_out,consumes,1
StochasticEngine,self,consumes,25
StochasticEngine,current_phi,consumes,1
StochasticEngine,base_phi,consumes,1
StochasticEngine,base_k,consumes,1
StochasticEngine,safe_phi,consumes,1
StochasticEngine,phi_ratio,consumes,1
StochasticEngine,phi_comp,consumes,1
StochasticEngine,derived_k_val,consumes,1
StochasticEngine,u_phi,consumes,1
StochasticEngine,u_phi_base,consumes,1
StochasticEngine,u_k_base,consumes,1
StochasticEngine,sigma_phi_abs,consumes,1
StochasticEngine,sigma_phi_base_abs,consumes,1
StochasticEngine,sigma_k_base_abs,consumes,1
StochasticEngine,dk_dphi,consumes,1
StochasticEngine,dk_dphi_base,consumes,1
StochasticEngine,dk_dk_base,consumes,1
StochasticEngine,sigma_k_abs,consumes,1
StochasticEngine,derived_k_unc,consumes,1
StochasticEngine,k_val,consumes,1
StochasticEngine,k_unc,consumes,1
StochasticEngine,api,consumes,1
StochasticEngine,t_f,consumes,1
StochasticEngine,api_safe,consumes,1
StochasticEngine,t_safe,consumes,1
StochasticEngine,y,consumes,1
StochasticEngine,x,consumes,1
StochasticEngine,dynamic_viscosity,consumes,1
StochasticEngine,mu_val,consumes,1
StochasticEngine,ln10,consumes,1
StochasticEngine,A,consumes,1
StochasticEngine,dA_dapi,consumes,1
StochasticEngine,B,consumes,1
StochasticEngine,dB_dT,consumes,1
StochasticEngine,dx_dapi,consumes,1
StochasticEngine,dx_dT,consumes,1
StochasticEngine,dmu_dx,consumes,1
StochasticEngine,sigma_api_abs,consumes,1
StochasticEngine,sigma_temp_abs,consumes,1
StochasticEngine,sigma_mu_abs,consumes,1
StochasticEngine,mu_unc,consumes,1
InputDistribution,in_dist,generates,1
InputDistribution,InputDistribution,consumes,4
self,sample_keys,generates,1
StochasticEngine,val,consumes,2
StochasticEngine,samples,consumes,3
StochasticEngine,causal_props,consumes,1
StochasticEngine,samples_dict,consumes,1
StochasticEngine,base_val,consumes,2
StochasticEngine,u_t,consumes,2
StochasticEngine,causal_arrays,consumes,1
StochasticEngine,poes_arrays,consumes,1
StochasticEngine,eur_arrays,consumes,1
StochasticEngine,q0_arrays,consumes,1
StochasticEngine,factor,consumes,1
StochasticEngine,value,consumes,1
StochasticEngine,sys_res,consumes,1
StochasticEngine,df_results,consumes,4
render_stochastic_tab,m_ref,consumes,1
render_stochastic_tab,poes_v,consumes,1
render_stochastic_tab,poes_u,consumes,1
render_stochastic_tab,poes_unit,consumes,1
render_stochastic_tab,q0_v,consumes,1
render_stochastic_tab,q0_u,consumes,1
render_stochastic_tab,q0_unit,consumes,1
render_stochastic_tab,raw_twins,consumes,1
render_stochastic_tab,view_options,consumes,1
render_stochastic_tab,selected_view,consumes,1
render_stochastic_tab,is_master,consumes,1
render_stochastic_tab,st,consumes,2
render_stochastic_tab,current_master_fr,consumes,1
render_stochastic_tab,new_master_fr,consumes,1
render_stochastic_tab,n_iter,consumes,1
render_stochastic_tab,run_button,consumes,1
render_stochastic_tab,graph_container,consumes,1
render_stochastic_tab,idx,consumes,1
render_stochastic_tab,label,consumes,1
render_stochastic_tab,default_dist,consumes,1
render_stochastic_tab,default_idx,consumes,1
render_stochastic_tab,prob_var,consumes,1
render_stochastic_tab,active_target,consumes,1
render_stochastic_tab,unit,consumes,1
render_stochastic_tab,sens,consumes,1
render_stochastic_tab,s_data,consumes,1
render_stochastic_tab,df_oat,consumes,2
render_stochastic_tab,order_df,consumes,1
render_stochastic_tab,fig_oat,consumes,1
render_stochastic_tab,spearman,consumes,1
render_stochastic_tab,df_torn,consumes,2
render_stochastic_tab,fig_torn,consumes,1
render_stochastic_tab,user_configs,consumes,1
render_stochastic_tab,key,consumes,1
np,u_so,generates,1
np,boi_val,generates,1
np,safe_phi,generates,1
np,mu_unc_calc,generates,1
np,mu_unc,generates,1
np,mu_calc,generates,2
data,master,generates,1
StochasticEngine,cv,consumes,1
StochasticEngine,sigma_log,consumes,1
StochasticEngine,mu_log,consumes,1
StochasticEngine,low,consumes,1
StochasticEngine,high,consumes,1
StochasticRepository,q0_unit,consumes,1
StochasticRepository,current_state,consumes,1
StochasticRepository,eur_data,consumes,1
StochasticRepository,q0_data,consumes,1
StochasticRepository,q0_p90,consumes,1
StochasticRepository,q0_p50,consumes,1
StochasticRepository,q0_p10,consumes,1
StochasticRepository,master_poes_value,consumes,1
DataContractViolationError,self,consumes,1
pd,df_oat,generates,1
pd,df_torn,generates,1
pd,df_results,generates,1
pd,df_rows,generates,1
dict,vline_style,generates,1
dict,dict,consumes,1
DEFAULT_DIST,default_dist,generates,1
df_torn,df_torn,consumes,2
FlowStation,capacities_by_type,consumes,1
FlowStation,cap,consumes,1
UnifiedPhysicsEngine,self,consumes,1
np,sorted_v,generates,1
DimensionalHomologator,from_u,consumes,1
DimensionalHomologator,to_u,consumes,1
DimensionalHomologator,ft2,consumes,1
DimensionalHomologator,stb,consumes,1
DimensionalHomologator,from_period,consumes,1
DimensionalHomologator,to_period,consumes,1
DimensionalHomologator,valid_periods,consumes,1
DimensionalHomologator,from_mag,consumes,1
DimensionalHomologator,to_mag,consumes,1
DimensionalHomologator,psi,consumes,1
st,prob_var,generates,1
st,st,consumes,16
VARS_DISPLAY,label,generates,1
StochasticEngine,label,consumes,1
StochasticEngine,records,consumes,1
StochasticEngine,sys_base,consumes,1
StochasticEngine,eur_base,consumes,1
StochasticEngine,facies_vars,consumes,1
StochasticEngine,global_vars,consumes,1
StochasticEngine,original_values,consumes,1
StochasticEngine,new_val,consumes,1
StochasticEngine,sys_new,consumes,1
StochasticEngine,eur_new,consumes,1
StochasticEngine,impact,consumes,1
StochasticEngine,delta,consumes,1
StochasticEngine,unit,consumes,1
StochasticEngine,getattr,consumes,1
m_ref,poes_v,generates,1
m_ref,q0_u,generates,1
m_ref,q0_v,generates,1
m_ref,poes_u,generates,1
UnifiedPhysicsEngine,val,consumes,1
UnifiedPhysicsEngine,u_phi,consumes,1
UnifiedPhysicsEngine,u_sw,consumes,1
UnifiedPhysicsEngine,rss,consumes,1
UnifiedPhysicsEngine,facies,consumes,6
np,sq_sum,generates,1
np,np,consumes,1
_render_prob_curve,labels,consumes,1
_render_prob_curve,title,consumes,1
_render_prob_curve,fig,consumes,1
_render_prob_curve,sorted_v,consumes,1
_render_prob_curve,y_vals,consumes,1
_render_prob_curve,vline_style,consumes,1
px,fig_torn,generates,1
px,fig_oat,generates,1
px,px,consumes,8
UnifiedPhysicsEngine,A,consumes,2
UnifiedPhysicsEngine,boi_val,consumes,2
UnifiedPhysicsEngine,h,consumes,2
UnifiedPhysicsEngine,phi,consumes,1
UnifiedPhysicsEngine,sw,consumes,1
UnifiedPhysicsEngine,poes_stb,consumes,1
UnifiedPhysicsEngine,poes_mmstb,consumes,1
UnifiedPhysicsEngine,u_so,consumes,1
UnifiedPhysicsEngine,rel_err_vol,consumes,1
StochasticEngine,global_sensitivity,consumes,1
StochasticEngine,first_uid,consumes,1
StochasticEngine,target_array,consumes,1
StochasticEngine,sample_keys,consumes,1
StochasticEngine,numerator,consumes,1
StochasticEngine,denominator,consumes,1
StochasticEngine,rho,consumes,1
StochasticEngine,pv,consumes,1
master,poes_raw,generates,1
st,new_master_fr,generates,1
st,n_iter,generates,1
json,data,generates,1
json,raw_data,generates,1
json,full_data,generates,1
np,self,generates,4
_persist_results,unit,consumes,1
_persist_results,results,consumes,1
_persist_results,master_poes,consumes,1
_persist_results,payload,consumes,1
StochasticEngine,k_derived,consumes,1
StochasticEngine,mu_derived,consumes,1
StochasticEngine,boi_derived,consumes,1
self,unit,generates,1
UnifiedPhysicsEngine,target_capacity,consumes,1
UnifiedPhysicsEngine,facilities,consumes,1
UnifiedPhysicsEngine,existing_peak,consumes,1
UnifiedPhysicsEngine,total_new_wells,consumes,1
UnifiedPhysicsEngine,new_peak,consumes,1
np,rel_err_q0,generates,1
np,rel_err_vol,generates,1
np,sigma_k_abs,generates,1
np,sys_q0_unc,generates,1
np,sys_poes_unc,generates,1
np,sigma_mu_abs,generates,1
np,rss,generates,1
np,sigma_log,generates,1
_initialize_or_reset_state,st,consumes,2
st,run_button,generates,1
_validate_property,value,consumes,1
_validate_property,ranges,consumes,1
_validate_property,min_val,consumes,1
_validate_property,max_val,consumes,1
sum,total_poes,generates,1
sum,total_q0,generates,1
UnifiedPhysicsEngine,total_poes,consumes,1
UnifiedPhysicsEngine,total_q0,consumes,1
UnifiedPhysicsEngine,sys_poes_unc,consumes,1
UnifiedPhysicsEngine,sys_poes_unc_rel,consumes,1
UnifiedPhysicsEngine,sys_q0_unc,consumes,1
UnifiedPhysicsEngine,sys_q0_unc_rel,consumes,1
getattr,prop_obj,generates,1
_enforce_legacy_units,expected_units,consumes,1
_enforce_legacy_units,prop_data,consumes,2
_enforce_legacy_units,data,consumes,1
self,poes_mmstb,generates,1
UnifiedPhysicsEngine,api,consumes,1
UnifiedPhysicsEngine,x,consumes,1
UnifiedPhysicsEngine,ln10,consumes,1
UnifiedPhysicsEngine,dA_dapi,consumes,1
UnifiedPhysicsEngine,B,consumes,1
UnifiedPhysicsEngine,dB_dT,consumes,1
UnifiedPhysicsEngine,dx_dapi,consumes,1
UnifiedPhysicsEngine,dx_dT,consumes,1
UnifiedPhysicsEngine,dmu_dx,consumes,1
UnifiedPhysicsEngine,sigma_api_abs,consumes,1
UnifiedPhysicsEngine,sigma_temp_abs,consumes,1
UnifiedPhysicsEngine,sigma_mu_abs,consumes,1
UnifiedPhysicsEngine,mu_unc,consumes,1
UnifiedPhysicsEngine,k,consumes,1
UnifiedPhysicsEngine,p,consumes,1
UnifiedPhysicsEngine,u_api,consumes,1
UnifiedPhysicsEngine,temp,consumes,1
UnifiedPhysicsEngine,u_temp,consumes,1
UnifiedPhysicsEngine,mask,consumes,1
UnifiedPhysicsEngine,mu_calc,consumes,1
UnifiedPhysicsEngine,mu_unc_calc,consumes,1
UnifiedPhysicsEngine,delta_p,consumes,1
UnifiedPhysicsEngine,q0_val,consumes,1
UnifiedPhysicsEngine,rel_err_q0,consumes,1
st,selected_view,generates,1
get_master_poes,master_poes,generates,1
get_master_poes,unit,consumes,1
get_master_poes,value,consumes,1
get_master_poes,data,consumes,1
get_master_poes,master,consumes,1
get_master_poes,poes_raw,consumes,1
get_master_poes,uncertainty,consumes,1
get_master_recovery_factor,data,consumes,1
get_master_recovery_factor,master,consumes,1
PIDXEntity,self,consumes,1
_render_editor,unit,consumes,1
_render_editor,source,consumes,1
_render_editor,f_name,consumes,1
_render_editor,rows,consumes,1
_render_editor,val,consumes,1
_render_editor,unc,consumes,1
_render_editor,disp_unit,consumes,1
_render_editor,df_rows,consumes,1
_render_editor,edited,consumes,1
_render_editor,pk,consumes,1
_render_editor,getattr,consumes,2
Path,self,generates,1
Path,GEOLOGY_STATE_PATH,generates,1
load_silo1_data,full_data,consumes,1
load_silo1_data,master_data,consumes,2
load_silo1_data,facies_raw_list,consumes,1
load_silo1_data,master_recovery_factor,consumes,1
load_silo1_data,twin,consumes,1
load_silo1_data,prop_obj,consumes,1
StochasticEngine,super_result,consumes,1
StochasticEngine,poes_total,consumes,1
StochasticEngine,eur_val,consumes,1
StochasticEngine,eur_unc,consumes,1
StochasticEngine,eur_total,consumes,1
self,setup,generates,1
view,f_name,generates,1
StochasticState,legacy_value,consumes,1
StochasticState,rf_prop,consumes,1
cls,r2,generates,1
cls,r1,generates,1
StochasticState,val,consumes,2
StochasticState,setup,consumes,2
poes_raw,uncertainty,generates,1
poes_raw,unit,generates,1
poes_raw,value,generates,1
prop_key,label,generates,1
_run_simulation_workflow,sens,consumes,1
_run_simulation_workflow,twins,consumes,1
_run_simulation_workflow,in_dist,consumes,1
_run_simulation_workflow,master_fr,consumes,1
_run_simulation_workflow,val_base,consumes,1
_run_simulation_workflow,val_unc,consumes,1
_run_simulation_workflow,m,consumes,1
_run_simulation_workflow,u,consumes,1
_run_simulation_workflow,engine,consumes,1
_run_simulation_workflow,df,consumes,1
self,sys_res,generates,1
self,sys_base,generates,1
self,sys_new,generates,1
FaciesDigitalTwin,twin,generates,1
repo,state,generates,1
f,cap,generates,1
ConfigDict,model_config,generates,1
ConfigDict,ConfigDict,consumes,1
math,quantity,generates,1
np,samples,generates,1
_merge_previous_state,raw_twins,generates,1
_merge_previous_state,repo,consumes,1
_merge_previous_state,state,consumes,1
_merge_previous_state,prev_map,consumes,1
_merge_previous_state,prev,consumes,1
_merge_previous_state,twin,consumes,2
super,super_result,generates,1
current_state,eur_data,generates,1
current_state,q0_data,generates,1
DimensionalHomologator,self,generates,1
Prop,eur_total,generates,1
Prop,self,generates,4
Prop,Prop,consumes,3
master_dict,rf_raw,generates,1
self,original_values,generates,1
get_master_recovery_factor_from_data,master_recovery_factor,generates,1
get_master_recovery_factor_from_data,rf_raw,consumes,1
copy,st,generates,2
np,mu_val,generates,1
np,t_safe,generates,1
np,api_safe,generates,1
full_data,master_data,generates,1
self,samples,generates,2
prop_data,prop_data,generates,1
self,base_phi,generates,1
self,base_k,generates,1
st,edited,generates,1
StochasticRepository,validated_model,consumes,1
sens,s_data,generates,1
next,source,generates,1
StochasticEngine,results,generates,1
self,self,generates,3
StochasticEngine,engine,generates,1
np,m,generates,1
st,master_fr,generates,1
go,fig,generates,1
self,current_state,generates,1
DimensionalHomologator,r1,consumes,1
DimensionalHomologator,r2,consumes,1
StochasticEngine,sq_sum,consumes,1
engine,df,generates,1
np,ln10,generates,1
ranges,max_val,generates,1
df_oat,df_oat,generates,1
self,u_t,generates,1
st,graph_container,generates,1
UnifiedPhysicsEngine,max_cap,consumes,1
UnifiedPhysicsEngine,quantity,consumes,1
DIST_MODELS,default_idx,generates,1
logging,logger,generates,1
StochasticState,validated_model,generates,1
StochasticRepository,raw_data,consumes,1
norm,to_u,generates,1
norm,from_u,generates,1
self,target_array,generates,1
StochasticRepository,repo,generates,1
DimensionalHomologator,f_in,generates,1
DimensionalHomologator,f_out,generates,1
st,active_target,generates,1
StochasticRepository,self,consumes,2
